Object Reference,Alarm,Manual,Commissioned,Site,Device Name,Device,Name,Value,Status,Timed_Override_Active
//Benson House/107.AV1008,,,,Benson House,FCU007,107,Daily Cooling Valve Travel Time,1.26 H,,
//Benson House/107.AV1009,,,,Benson House,FCU007,107,Valve Travel Time (Live),1.38 H,,
//Benson House/107.AV1010,,,,Benson House,FCU007,107,Valve Travel Time (Yesterday),3.63 H,,
//Benson House/107.AV1011,,,,Benson House,FCU007,107,Valve Travel Time (This Week),13.70 H,,
//Benson House/107.AV1012,,,,Benson House,FCU007,107,Valve Travel Time (Last Week),37.92 H,,
//Benson House/107.AV1013,,,,Benson House,FCU007,107,Valve Travel Time (This Month),1857.48 H,,
//Benson House/107.AV1014,,,,Benson House,FCU007,107,Valve Travel Time (Last Month),3699.96 H,,
//Benson House/107.AV1015,,,,Benson House,FCU007,107,FCU Comfort KPI Score (Month),100.00%,,
//Benson House/107.AV1016,,,,Benson House,FCU007,107,FCU Saturation KPI (Minutes to SP),18 min,,
//Benson House/107.AV1017,,,,Benson House,FCU007,107,FCU Saturation KPI (Yesterday),18.0 min,,
//Benson House/107.AV11,,,,Benson House,FCU007,107,FCU007_Operating Setpoint,21.0 °C,,
//Benson House/107.AV12,,,,Benson House,FCU007,107,FCU007_Master Setpoint,21.0 °C,,
//Benson House/107.AV13,,,,Benson House,FCU007,107,FCU007_Overall Fan Speed,70.00%,,
//Benson House/107.AV14,,,,Benson House,FCU007,107,Heating Element Output,-2.00%,,
//Benson House/107.AV15,,,,Benson House,FCU007,107,Room Relative Humidity,-2.0 %RH,,
//Benson House/107.AV16,,,,Benson House,FCU007,107,Room CO2 Level,-2.0 ppm,,
//Benson House/107.AV17,,,,Benson House,FCU007,107,FCU007_Specific Fan Power,3.5 W,,
//Benson House/107.AV18,,,,Benson House,FCU007,107,FCU007_Power Consumption,487.0 W,,
//Benson House/107.AV19,,,,Benson House,FCU007,107,FCU007_Current Thermal Output,-0.4 kW,,
//Benson House/107.AV2,,,,Benson House,FCU007,107,Supply Air Temperature,19.6 °C,,
//Benson House/107.AV20,,,,Benson House,FCU007,107,Master Alarm Code,0,,
//Benson House/107.AV201,,,,Benson House,FCU007,107,FCU007_Design Total Air Volume,180.0 L/s,,
//Benson House/107.AV202,,,,Benson House,FCU007,107,Fan Setback Factor,70.00%,,
//Benson House/107.AV203,,,,Benson House,FCU007,107,FCU007_Heating Valve Design Flow Rate,0.1140 L/s,,
//Benson House/107.AV204,,,,Benson House,FCU007,107,FCU007_Cooling Valve Design Flow Rate,0.0280 L/s,,
//Benson House/107.AV205,,,,Benson House,FCU007,107,EVO Fan Voltage for Design Airflow,-2.0 V,,
//Benson House/107.AV206,,,,Benson House,FCU007,107,Maximum Allowed Airflow Per Fan,150.0 L/s,,
//Benson House/107.AV207,,,,Benson House,FCU007,107,FCU007_Fan 1 Design Air Volume,45.0 L/s,,
//Benson House/107.AV208,,,,Benson House,FCU007,107,FCU007_Fan 2 Design Air Volume,45.0 L/s,,
//Benson House/107.AV209,,,,Benson House,FCU007,107,FCU007_Fan 3 Design Air Volume,45.0 L/s,,
//Benson House/107.AV210,,,,Benson House,FCU007,107,FCU007_Fan 4 Design Air Volume,45.0 L/s,,
//Benson House/107.AV211,,,,Benson House,FCU007,107,Fabric Protection Setpoint,12.0 °C,,
//Benson House/107.AV212,,,,Benson House,FCU007,107,PIR Activation Delay,0.5 min,,
//Benson House/107.AV213,,,,Benson House,FCU007,107,PIR Inactivation Delay,30.0 min,,
//Benson House/107.AV214,,,,Benson House,FCU007,107,Design Heating Duty,4.0 kW,,
//Benson House/107.AV215,,,,Benson House,FCU007,107,Design Cooling Duty,4.0 kW,,
//Benson House/107.AV216,,,,Benson House,FCU007,107,Minimum Allowed Airflow Per Fan,30.0 L/s,,
//Benson House/107.AV217,,,,Benson House,FCU007,107,FCU007_Fan 1 Setback Air Volume,31.5 L/s,,
//Benson House/107.AV218,,,,Benson House,FCU007,107,FCU007_Fan 2 Setback Air Volume,31.5 L/s,,
//Benson House/107.AV219,,,,Benson House,FCU007,107,FCU007_Fan 3 Setback Air Volume,31.5 L/s,,
//Benson House/107.AV220,,,,Benson House,FCU007,107,FCU007_Fan 4 Setback Air Volume,31.5 L/s,,
//Benson House/107.AV227,,,,Benson House,FCU007,107,Fan 1 Trim,100.00%,,
//Benson House/107.AV228,,,,Benson House,FCU007,107,Fan 2 Trim,100.00%,,
//Benson House/107.AV229,,,,Benson House,FCU007,107,Fan 3 Trim,100.00%,,
//Benson House/107.AV230,,,,Benson House,FCU007,107,Fan 4 Trim,100.00%,,
//Benson House/107.AV231,,,,Benson House,FCU007,107,Control Temperature Sensor Offset,0.0 °C,,
//Benson House/107.AV232,,,,Benson House,FCU007,107,Supply Air Temperature Sensor Offset,0.0 °C,,
//Benson House/107.AV233,,,,Benson House,FCU007,107,Heating Valve Trim,100.00%,,
//Benson House/107.AV234,,,,Benson House,FCU007,107,Cooling Valve Trim,100.00%,,
//Benson House/107.AV235,,,,Benson House,FCU007,107,Heating Branch Trim,100.00%,,
//Benson House/107.AV236,,,,Benson House,FCU007,107,Cooling Branch Trim,100.00%,,
//Benson House/107.AV246,,,,Benson House,FCU007,107,Supply Air High Limit,40.8 °C,,
//Benson House/107.AV248,,,,Benson House,FCU007,107,Supply Air Low Limit,12.0 °C,,
//Benson House/107.AV250,,,,Benson House,FCU007,107,Setpoint Pot Lower Limit,0.0 k?,,
//Benson House/107.AV251,,,,Benson House,FCU007,107,Setpoint Pot Upper Limit,6.0 k?,,
//Benson House/107.AV252,,,,Benson House,FCU007,107,Setpoint Adjustment Range,6.0 °C,,
//Benson House/107.AV253,,,,Benson House,FCU007,107,BACstat Timeout Period,60.0 min,,
//Benson House/107.AV254,,,,Benson House,FCU007,107,Maximum Valve Position During Boost,120.00%,,
//Benson House/107.AV255,,,,Benson House,FCU007,107,Maximum Fan Speed During Boost,100.00%,,
//Benson House/107.AV256,,,,Benson House,FCU007,107,Boost Mode Delay,30.0 min,,
//Benson House/107.AV261,,,,Benson House,FCU007,107,FCU007_Occupied Dead Band,0.5 °C,,
//Benson House/107.AV262,,,,Benson House,FCU007,107,FCU007_Unoccupied Dead Band,1.5 °C,,
//Benson House/107.AV263,,,,Benson House,FCU007,107,FCU007_Occupied Valve Proportional Band,1.0 °C,,
//Benson House/107.AV264,,,,Benson House,FCU007,107,FCU007_Unoccupied Valve Proportional Band,2.0 °C,,
//Benson House/107.AV265,,,,Benson House,FCU007,107,FCU007_Occupied Fan Proportional Band,1.0 °C,,
//Benson House/107.AV266,,,,Benson House,FCU007,107,FCU007_Unoccupied Fan Proportional Band,2.0 °C,,
//Benson House/107.AV267,,,,Benson House,FCU007,107,Boost Proportional Band,1.0 °C,,
//Benson House/107.AV3,,,,Benson House,FCU007,107,FCU007_Heating Valve Position,0%,,
//Benson House/107.AV301,,,,Benson House,FCU007,107,FCU007_Number of FCU Fans,4,,
//Benson House/107.AV302,,,,Benson House,FCU007,107,Filter Alarm Setpoint,1000.0 h,,
//Benson House/107.AV303,,,,Benson House,FCU007,107,Heating Valve Motor Time for Design Flow,62.7 s,,
//Benson House/107.AV304,,,,Benson House,FCU007,107,Cooling Valve Motor Time for Design Flow,28.3 s,,
//Benson House/107.AV305,,,,Benson House,FCU007,107,BACstat Keypress,0,,
//Benson House/107.AV306,,,,Benson House,FCU007,107,FCU007_Power Consumption kW,0.5 kW,,
//Benson House/107.AV308,,,,Benson House,FCU007,107,Controller MAC Address,7,,
//Benson House/107.AV309,,,,Benson House,FCU007,107,Master/Slave Poll Interval,60.0 s,,
//Benson House/107.AV310,,,,Benson House,FCU007,107,Auto-Save Interval,60 min,,
//Benson House/107.AV311,,,,Benson House,FCU007,107,Maximum Valve Drives Before Resync,200,,
//Benson House/107.AV312,,,,Benson House,FCU007,107,Control Loop Bias at Shutdown,50.00%,,
//Benson House/107.AV313,,,,Benson House,FCU007,107,Heating Valve Current Motor Time,0.0 s,,
//Benson House/107.AV314,,,,Benson House,FCU007,107,Cooling Valve Current Motor Time,20.5 s,,
//Benson House/107.AV316,,,,Benson House,FCU007,107,Filter Meter,5.50%,,
//Benson House/107.AV317,,,,Benson House,FCU007,107,Power Consumption at Design Air Volume,691.2 W,,
//Benson House/107.AV318,,,,Benson House,FCU007,107,Heating Control Boundary Value,25.00%,,
//Benson House/107.AV319,,,,Benson House,FCU007,107,Cooling Control Boundary Value,75.00%,,
//Benson House/107.AV320,,,,Benson House,FCU007,107,Primary Control Loop Integral Control Rate,0.3 %/m,,
//Benson House/107.AV333,,,,Benson House,FCU007,107,Heating Valve Flow Threshold,19.0 s,,
//Benson House/107.AV334,,,,Benson House,FCU007,107,Cooling Valve Flow Threshold,17.0 s,,
//Benson House/107.AV337,,,,Benson House,FCU007,107,Mains Voltage,230.0 V,,
//Benson House/107.AV338,,,,Benson House,FCU007,107,Mains Current Draw,2.1 A,,
//Benson House/107.AV339,,,,Benson House,FCU007,107,ComTool Keypress,0,,
//Benson House/107.AV340,,,,Benson House,FCU007,107,Heating Element High Limit,100.00%,,
//Benson House/107.AV343,,,,Benson House,FCU007,107,Heating Valve Motor Time for Full Stroke,90.0 s,,
//Benson House/107.AV344,,,,Benson House,FCU007,107,Cooling Valve Motor Time for Full Stroke,90.0 s,,
//Benson House/107.AV350,,,,Benson House,FCU007,107,Waterside Main Control Factor,30.60%,,
//Benson House/107.AV360,,,,Benson House,FCU007,107,Airside Main Control Factor,70.00%,,
//Benson House/107.AV373,,,,Benson House,FCU007,107,Heating Valve Motor Time for Boost Flow,66.7 s,,
//Benson House/107.AV374,,,,Benson House,FCU007,107,Cooling Valve Motor Time for Boost Flow,32.2 s,,
//Benson House/107.AV383,,,,Benson House,FCU007,107,Heating Valve Required Time,0.00 s,,
//Benson House/107.AV384,,,,Benson House,FCU007,107,Cooling Valve Required Time,20.47 s,,
//Benson House/107.AV4,,,,Benson House,FCU007,107,FCU007_Cooling Valve Position,31%,,
//Benson House/107.AV406,,,,Benson House,FCU007,107,FCU007_Standby Power Consumption,49.2 W,,
//Benson House/107.AV5,,,,Benson House,FCU007,107,FCU007_Current Total Air Volume,126.0 L/s,,
//Benson House/107.AV501,,,,Benson House,FCU007,107,FCU007_Power Consumption Total,12919.9 kWh,,
//Benson House/107.AV502,,,,Benson House,FCU007,107,FCU Power Consumption Today,2.7 kWh,,
//Benson House/107.AV503,,,,Benson House,FCU007,107,FCU Power Consumption This Week,24.9 kWh,,
//Benson House/107.AV504,,,,Benson House,FCU007,107,FCU Power Consumption This Month,660.7 kWh,,
//Benson House/107.AV512,,,,Benson House,FCU007,107,FCU Power Consumption Yesterday,6.2 kWh,,
//Benson House/107.AV513,,,,Benson House,FCU007,107,FCU Power Consumption Last Week,33.5 kWh,,
//Benson House/107.AV514,,,,Benson House,FCU007,107,FCU Power Consumption Last Month,1747.8 kWh,,
//Benson House/107.AV520,,,,Benson House,FCU007,107,FCU Power Consumption Last Mon,4650.2 kWh,,
//Benson House/107.AV521,,,,Benson House,FCU007,107,FCU Power Consumption Last Tue,4650.2 kWh,,
//Benson House/107.AV522,,,,Benson House,FCU007,107,FCU Power Consumption Last Wed,4650.2 kWh,,
//Benson House/107.AV523,,,,Benson House,FCU007,107,FCU Power Consumption Last Thu,4650.2 kWh,,
//Benson House/107.AV524,,,,Benson House,FCU007,107,FCU Power Consumption Last Fri,4650.2 kWh,,
//Benson House/107.AV525,,,,Benson House,FCU007,107,FCU Power Consumption Last Sat,4650.2 kWh,,
//Benson House/107.AV526,,,,Benson House,FCU007,107,FCU Power Consumption Last Sun,4650.2 kWh,,
//Benson House/107.AV6,,,,Benson House,FCU007,107,EVO Current Fan Voltage,-2.0 V,,
//Benson House/107.AV601,,,,Benson House,FCU007,107,Lighting Setpoint,920 lx,,
//Benson House/107.AV7,,,,Benson House,FCU007,107,FCU007_Fan 1 Current Air Volume,31.5 L/s,,
//Benson House/107.AV8,,,,Benson House,FCU007,107,FCU007_Fan 2 Current Air Volume,31.5 L/s,,
//Benson House/107.AV9,,,,Benson House,FCU007,107,FCU007_Fan 3 Current Air Volume,31.5 L/s,,
//Benson House/107.BI10,,,1,Benson House,FCU007,107,Multi-Function Input,ON,,
//Benson House/107.BI105,,,1,Benson House,FCU007,107,FCU007_BACstat PIR,OFF,fault,
//Benson House/107.BI11,,,1,Benson House,FCU007,107,Mode Switch,ON,,
//Benson House/107.BO1,,,1,Benson House,FCU007,107,FCU007_Heating Valve Open / Element Energise,OFF,private2,
//Benson House/107.BO2,,,1,Benson House,FCU007,107,FCU007_Heating Valve Close,OFF,private2,
//Benson House/107.BO3,,,1,Benson House,FCU007,107,FCU007_Cooling Valve Open,OFF,private2,
//Benson House/107.BO4,,,1,Benson House,FCU007,107,FCU007_Cooling Valve Close,OFF,private2,
//Benson House/107.BO5,,,1,Benson House,FCU007,107,Standby Sentinal,OFF,polarity|private2,
//Benson House/107.BO6,,,1,Benson House,FCU007,107,Status Light,OFF,private2,
//Benson House/107.BT1,,,,Benson House,FCU007,107,FCU Run Timer,27114.90 Hours,,
//Benson House/107.BT1001,,,,Benson House,FCU007,107,FCU Daily Run Timer,5.12 Hours,,
//Benson House/107.BT1002,,,,Benson House,FCU007,107,FCU Within Bounds Daily Timer,4.73 Hours,,
//Benson House/107.BT1003,,,,Benson House,FCU007,107,FCU Weekly Run Timer,50.12 Hours,,
//Benson House/107.BT1004,,,,Benson House,FCU007,107,FCU Within Bounds Weekly Timer,50.12 Hours,,
//Benson House/107.BT1005,,,,Benson House,FCU007,107,FCU Within Bounds Monthly Timer,1137.55 Hours,,
//Benson House/107.BT1006,,,,Benson House,FCU007,107,Heating Valve Opening Daily Timer,0.06 Hours,,
//Benson House/107.BT1007,,,,Benson House,FCU007,107,Heating Valve Closing Daily Timer,0.07 Hours,,
//Benson House/107.BT1008,,,,Benson House,FCU007,107,Cooling Valve Opening Daily Timer,0.59 Hours,,
//Benson House/107.BT1009,,,,Benson House,FCU007,107,Cooling Valve Closing Daily Timer,0.66 Hours,,
//Benson House/107.BT1010,,,,Benson House,FCU007,107,FCU Monthly Run Timer,1137.55 Hours,,
//Benson House/107.BT1011,,,,Benson House,FCU007,107,Time to Heating Setpoint,0.060 Hours,,
//Benson House/107.BT1012,,,,Benson House,FCU007,107,Time to Cooling Setpoint,0.000 Hours,,
//Benson House/107.BV1,,,,Benson House,FCU007,107,FCU007_Run Status,RUN,,
//Benson House/107.BV10,,,,Benson House,FCU007,107,Full Cooling Mode,OFF,,
//Benson House/107.BV1001,,,,Benson House,FCU007,107,FCU Within Bounds,ON,,
//Benson House/107.BV1002,,,,Benson House,FCU007,107,Sticky Cooling Valve,OFF,,
//Benson House/107.BV1003,,,,Benson House,FCU007,107,Cooling Valve Stuck,OFF,,
//Benson House/107.BV1004,,,,Benson House,FCU007,107,Sticky Heating Valve,OFF,,
//Benson House/107.BV1005,,,,Benson House,FCU007,107,Heating Valve Stuck,OFF,,
//Benson House/107.BV1006,,,,Benson House,FCU007,107,Cooling Setpoint Timer Enable,OFF,,
//Benson House/107.BV1007,,,,Benson House,FCU007,107,Heating Setpoint Timer Enable,OFF,,
//Benson House/107.BV11,,,,Benson House,FCU007,107,Neutral Mode,OFF,,
//Benson House/107.BV12,,,,Benson House,FCU007,107,Boost Mode,OFF,,
//Benson House/107.BV13,,,,Benson House,FCU007,107,FCU007_BMS Run Signal,RUN,,
//Benson House/107.BV14,,,,Benson House,FCU007,107,FCU007_BMS Occupancy Signal,OCCUPIED,,
//Benson House/107.BV15,,,,Benson House,FCU007,107,BACstat Control Signal,OFF,,
//Benson House/107.BV16,,,,Benson House,FCU007,107,Fabric Protection Active,OFF,,
//Benson House/107.BV2,,,,Benson House,FCU007,107,FCU007_Occupancy Status,OCCUPIED,,
//Benson House/107.BV20,,,,Benson House,FCU007,107,Master Alarm,OFF,,
//Benson House/107.BV201,,,,Benson House,FCU007,107,Disable Variable Air Volume,OFF,,
//Benson House/107.BV202,,,,Benson House,FCU007,107,Optimum Start Enabled,OFF,,
//Benson House/107.BV203,,,,Benson House,FCU007,107,Integral Control Enabled,OFF,,
//Benson House/107.BV204,,,,Benson House,FCU007,107,BACstat Connected,OFF,,
//Benson House/107.BV205,,,,Benson House,FCU007,107,Room Stat Potentiometer Connected,ON,,
//Benson House/107.BV207,,,,Benson House,FCU007,107,Reset BACstat Setpoint on BMS Stop Signal,OFF,,
//Benson House/107.BV208,,,,Benson House,FCU007,107,Use PIR for Run Status,OFF,,
//Benson House/107.BV209,,,,Benson House,FCU007,107,Disable Boost Mode,ON,,
//Benson House/107.BV21,,,,Benson House,FCU007,107,Generic Alarm,OFF,,
//Benson House/107.BV210,,,,Benson House,FCU007,107,ECO Start Enabled,OFF,,
//Benson House/107.BV211,,,,Benson House,FCU007,107,ECO Start Triggered,OFF,,
//Benson House/107.BV22,,,,Benson House,FCU007,107,Filter Alarm,OFF,,
//Benson House/107.BV23,,,,Benson House,FCU007,107,Condensate Alarm,OFF,,
//Benson House/107.BV236,,,,Benson House,FCU007,107,Get Run Status from Master FCU,OFF,,
//Benson House/107.BV237,,,,Benson House,FCU007,107,Get Control Temperature from Master FCU,OFF,,
//Benson House/107.BV238,,,,Benson House,FCU007,107,Get Occupancy from Master FCU,OFF,,
//Benson House/107.BV239,,,,Benson House,FCU007,107,Get Setpoint from Master FCU,OFF,,
//Benson House/107.BV24,,,,Benson House,FCU007,107,Fan Failure Alarm,OFF,,
//Benson House/107.BV25,,,,Benson House,FCU007,107,Sensor Failure Alarm,OFF,,
//Benson House/107.BV26,,,,Benson House,FCU007,107,Heating Alarm,OFF,,
//Benson House/107.BV27,,,,Benson House,FCU007,107,Cooling Alarm,OFF,,
//Benson House/107.BV28,,,,Benson House,FCU007,107,Element Cutout Alarm,OFF,,
//Benson House/107.BV302,,,,Benson House,FCU007,107,Disable Fans,OFF,,
//Benson House/107.BV303,,,,Benson House,FCU007,107,Heating Valve Resync Required,OFF,,
//Benson House/107.BV304,,,,Benson House,FCU007,107,Cooling Valve Resync Required,OFF,,
//Benson House/107.BV305,,,,Benson House,FCU007,107,PIR Activated,OFF,,
//Benson House/107.BV306,,,,Benson House,FCU007,107,Reverse Valve Operation,OFF,,
//Benson House/107.BV307,,,,Benson House,FCU007,107,Disable Fan Auto-Setup,OFF,,
//Benson House/107.BV308,,,,Benson House,FCU007,107,Disable Valve Auto-Setup,OFF,,
//Benson House/107.BV309,,,,Benson House,FCU007,107,Calibrate Sensors,OFF,,
//Benson House/107.BV310,,,,Benson House,FCU007,107,Test Power Consumption,OFF,,
//Benson House/107.BV311,,,,Benson House,FCU007,107,Save to Flash Required,OFF,,
//Benson House/107.BV312,,,,Benson House,FCU007,107,Load from Flash Required,OFF,,
//Benson House/107.BV313,,,,Benson House,FCU007,107,Heating Valve Resync in Progress,OFF,,
//Benson House/107.BV314,,,,Benson House,FCU007,107,Cooling Valve Resync in Progress,OFF,,
//Benson House/107.BV316,,,,Benson House,FCU007,107,Recently Changed Status,OFF,,
//Benson House/107.BV317,,,,Benson House,FCU007,107,Heating Element Delay Active,OFF,,
//Benson House/107.BV318,,,,Benson House,FCU007,107,Fan Delay Active,OFF,,
//Benson House/107.BV319,,,,Benson House,FCU007,107,Test Outputs,OFF,,
//Benson House/107.BV323,,,,Benson House,FCU007,107,Heating Valve Drive in Progress,OFF,,
//Benson House/107.BV324,,,,Benson House,FCU007,107,Cooling Valve Drive in Progress,OFF,,
//Benson House/107.BV325,,,,Benson House,FCU007,107,Valve Setup Data Recalc Required,OFF,,
//Benson House/107.BV326,,,,Benson House,FCU007,107,Fan Setup Data Recalc Required,OFF,,
//Benson House/107.BV327,,,,Benson House,FCU007,107,Reset Run Time Alarm,OFF,,
//Benson House/107.BV328,,,,Benson House,FCU007,107,Clear Manual Overrides,OFF,,
//Benson House/107.BV329,,,,Benson House,FCU007,107,Allow Manual Overrides to Persist,OFF,,
//Benson House/107.BV330,,,,Benson House,FCU007,107,Reset Bias,OFF,,
//Benson House/107.BV331,,,,Benson House,FCU007,107,Recall Previous Output Bias at Startup,OFF,,
//Benson House/107.BV332,,,,Benson House,FCU007,107,Update Outputs,OFF,,
//Benson House/107.BV5,,,,Benson House,FCU007,107,Optimum Start,OFF,,
//Benson House/107.BV7,,,,Benson House,FCU007,107,Commissioning Mode,OFF,,
//Benson House/107.BV8,,,,Benson House,FCU007,107,Flushing Mode,OFF,,
//Benson House/107.BV9,,,,Benson House,FCU007,107,Full Heating Mode,OFF,,
//Benson House/107.CO1,,,,Benson House,FCU007,107,Primary Control Loop,57.99%,,
//Benson House/107.CO2,,,,Benson House,FCU007,107,Boost Control Loop,50%,,
//Benson House/107.CO3,,,,Benson House,FCU007,107,Supply Air Control Loop,50%,,
//Benson House/107.DEV107,,,1,Benson House,FCU007,107,FCU007,Operational,,
//Benson House/107.FIL1,,,,Benson House,FCU007,107,Database Transfer File,,,
//Benson House/107.MT1,,,,Benson House,FCU007,107,FCU007_Thermal Log,,reset,
//Benson House/107.MT1001,,,,Benson House,FCU007,107,FCU KPI MT,,,
//Benson House/107.MT2,,,,Benson House,FCU007,107,FCU007_Power Log,,reset,
//Benson House/107.MV1,,,,Benson House,FCU007,107,FCU007_Operating Mode,AUTO,,
//Benson House/107.MV201,,,,Benson House,FCU007,107,FCU Size,SIZE 550,,
//Benson House/107.MV202,,,,Benson House,FCU007,107,FCU Type,MATRIX BELIMO,,
//Benson House/107.MV203,,,,Benson House,FCU007,107,Heating Valve/Actuator Type,R215P-040,,
//Benson House/107.MV204,,,,Benson House,FCU007,107,Cooling Valve/Actuator Type,R215P-010,,
//Benson House/107.MV205,,,,Benson House,FCU007,107,Multi-Function Input Configuration,UNUSED,,
//Benson House/107.PG1,,,,Benson House,FCU007,107,Main / High Priority Calculations,Running,,
//Benson House/107.PG10,,,,Benson House,FCU007,107,EVO Fan Program,Waiting,,
//Benson House/107.PG11,,,,Benson House,FCU007,107,Status Light Program,Waiting,,
//Benson House/107.PG12,,,,Benson House,FCU007,107,BACstat Program,Waiting,,
//Benson House/107.PG13,,,,Benson House,FCU007,107,Heating Element Program,Waiting,,
//Benson House/107.PG14,,,,Benson House,FCU007,107,Additional Processes,Waiting,,
//Benson House/107.PG15,,,,Benson House,FCU007,107,Output Test,Waiting,,
//Benson House/107.PG16,,,,Benson House,FCU007,107,Medium Priority Calculations,Waiting,,
//Benson House/107.PG17,,,,Benson House,FCU007,107,Powerup Procedure,Waiting,reset,
//Benson House/107.PG18,,,,Benson House,FCU007,107,Alarm Calculations,Waiting,,
//Benson House/107.PG19,,,,Benson House,FCU007,107,Control Factor Calculations,Running,,
//Benson House/107.PG2,,,,Benson House,FCU007,107,Control Calculations,Waiting,,
//Benson House/107.PG21,,,,Benson House,FCU007,107,Occupancy Status Calculations,Waiting,,
//Benson House/107.PG22,,,,Benson House,FCU007,107,Sensor Calibration Program,Waiting,,
//Benson House/107.PG23,,,,Benson House,FCU007,107,ComTool Program,Waiting,,
//Benson House/107.PG24,,,,Benson House,FCU007,107,Job Specific Processes,Waiting,,
//Benson House/107.PG25,,,,Benson House,FCU007,107,Analytics,Waiting,,
//Benson House/107.PG26,,,,Benson House,FCU007,107,Init Names 1,Waiting,,
//Benson House/107.PG27,,,,Benson House,FCU007,107,Init Names 2,Waiting,,
//Benson House/107.PG3,,,,Benson House,FCU007,107,Status Calculations,Waiting,,
//Benson House/107.PG4,,,,Benson House,FCU007,107,Mode Calculations,Waiting,,
//Benson House/107.PG5,,,,Benson House,FCU007,107,Valve Setup Calculations,Waiting,,
//Benson House/107.PG6,,,,Benson House,FCU007,107,Fan Setup Calculations,Waiting,,
//Benson House/107.PG7,,,,Benson House,FCU007,107,Heating Valve Program,Running,,
//Benson House/107.PG8,,,,Benson House,FCU007,107,Cooling Valve Program,Running,,
//Benson House/107.PG9,,,,Benson House,FCU007,107,Matrix Fan Program,Waiting,,
//Benson House/107.TL1,,,,Benson House,FCU007,107,FCU Control Temperature Log,Trending,,
//Benson House/107.TL10,,,,Benson House,FCU007,107,FCU Run Status Log,Trending,,
//Benson House/107.TL1001,,,,Benson House,FCU007,107,Random Log,Trending,,
//Benson House/107.TL1002,,,,Benson House,FCU007,107,FCU Within Bounds Log,Trending,,
//Benson House/107.TL1003,,,,Benson House,FCU007,107,Cooling Valve Stuck Log,Trending,,
//Benson House/107.TL1004,,,,Benson House,FCU007,107,HeatingCoilTemp Log,Trending,,
//Benson House/107.TL1005,,,,Benson House,FCU007,107,CoolingCoilTemp Log,Trending,,
//Benson House/107.TL2,,,,Benson House,FCU007,107,FCU Supply Air Temperature Log,Trending,,
//Benson House/107.TL3,,,,Benson House,FCU007,107,FCU Heating Valve Position Log,Trending,,
//Benson House/107.TL4,,,,Benson House,FCU007,107,FCU Cooling Valve Position Log,Trending,,
//Benson House/107.TL5,,,,Benson House,FCU007,107,FCU Power Consumption Log,Trending,,
//Benson House/107.TL6,,,,Benson House,FCU007,107,FCU Fan Speed Percentage Log,Trending,,
//Benson House/107.TL7,,,,Benson House,FCU007,107,FCU Heating Element Log,Trending,,
//Benson House/107.TL8,,,,Benson House,FCU007,107,FCU Setpoint Log,Trending,,
//Benson House/107.TL9,,,,Benson House,FCU007,107,Mains Current Log,Trending,,
//Benson House/108.AI1,,,1,Benson House,FCU008,108,FCU008_Return Air Temperature Sensor,22.1 °C,private1,
//Benson House/108.AI101,,,1,Benson House,FCU008,108,FCU008_BACstat Temperature Sensor,23.2 °C,private1,
//Benson House/108.AI103,,,1,Benson House,FCU008,108,FCU008_BACstat Humidity Sensor,23.7 %RH,private1,
//Benson House/108.AI104,,,1,Benson House,FCU008,108,FCU008_BACstat CO2 Sensor,909.9 ppm,private1,
//Benson House/108.AI12,,,,Benson House,FCU008,108,FCU008_Light_Level,906.0 lx,private1|not-commissioned,
//Benson House/108.AI2,,,1,Benson House,FCU008,108,FCU008_Supply Air Temperature Sensor,19.3 °C,private1,
//Benson House/108.AI3,,,1,Benson House,FCU008,108,FCU008_Room Temperature Sensor,21.4 °C,private1,
//Benson House/108.AI4,,,1,Benson House,FCU008,108,Setpoint Potentiometer,3.0 k?,private1,
//Benson House/108.AI5,,,1,Benson House,FCU008,108,FCU008_LPHW Flow Temperature Sensor/Element Cutout,67.3 °C,private1,
//Benson House/108.AI6,,,1,Benson House,FCU008,108,FCU008_LPHW Return Temperature Sensor,22.0 °C,private1,
//Benson House/108.AI7,,,1,Benson House,FCU008,108,FCU008_CHW Flow Temperature Sensor,8.4 °C,private1,
//Benson House/108.AI8,,,1,Benson House,FCU008,108,FCU008_CHW Return Temperature Sensor,21.0 °C,private1,
//Benson House/108.AI9,,,1,Benson House,FCU008,108,Mains Current Transducer,2.1050 A,private1,
//Benson House/108.AO10,,,1,Benson House,FCU008,108,FCU008_Fan 4 Speed Signal,30%,,
//Benson House/108.AO7,,,1,Benson House,FCU008,108,FCU008_Fan 1 Speed Signal / EVO Fan Speed Signal,30%,,
//Benson House/108.AO8,,,1,Benson House,FCU008,108,FCU008_Fan 2 Speed Signal,30%,,
//Benson House/108.AO9,,,1,Benson House,FCU008,108,FCU008_Fan 3 Speed Signal,30%,,
//Benson House/108.AT1,,,,Benson House,FCU008,108,FCU Power Consumption Totaliser,12922.2 kWh,,
//Benson House/108.AT2,,,,Benson House,FCU008,108,FCU Power Consumption Totaliser (Daily),2.7 kWh,,
//Benson House/108.AT3,,,,Benson House,FCU008,108,FCU Power Consumption Totaliser (Weekly),27.6 kWh,,
//Benson House/108.AT4,,,,Benson House,FCU008,108,FCU Power Consumption Totaliser (Monthly),663.8 kWh,,
//Benson House/108.AV1,,,,Benson House,FCU008,108,FCU008_Control Temperature,21.4 °C,,
